Date,Hour,MCP
01/01/2024,1,2813.5125
01/01/2024,2,2489.3725
01/01/2024,3,2349.9475
01/01/2024,4,2424.9025
01/01/2024,5,2447.4825
01/01/2024,6,3047.03
01/01/2024,7,3625.4624999999996
01/01/2024,8,8375.279999999999
01/01/2024,9,10000.0
01/01/2024,10,10000.0
01/01/2024,11,9793.2
01/01/2024,12,6453.9225
01/01/2024,13,4110.8575
01/01/2024,14,3288.9125
01/01/2024,15,3492.715
01/01/2024,16,3777.665
01/01/2024,17,7127.545
01/01/2024,18,10000.0
01/01/2024,19,10000.0
01/01/2024,20,6466.6224999999995
01/01/2024,21,4211.045
01/01/2024,22,3058.135
01/01/2024,23,2962.6725
01/01/2024,24,3003.2125
01/02/2024,1,3580.9300000000003
01/02/2024,2,3202.2375
01/02/2024,3,3071.255
01/02/2024,4,3021.435
01/02/2024,5,3010.29
01/02/2024,6,3735.26
01/02/2024,7,8750.2325
01/02/2024,8,10000.0
01/02/2024,9,10000.0
01/02/2024,10,10000.0
01/02/2024,11,10000.0
01/02/2024,12,7409.365
01/02/2024,13,4410.04
01/02/2024,14,3800.595
01/02/2024,15,4030.1949999999997
01/02/2024,16,4664.72
01/02/2024,17,8002.8175
01/02/2024,18,10000.0
01/02/2024,19,10000.0
01/02/2024,20,10000.0
01/02/2024,21,10000.0
01/02/2024,22,6466.9625
01/02/2024,23,4621.2325
01/02/2024,24,3944.5575
01/03/2024,1,3486.7200000000003
01/03/2024,2,3242.4775
01/03/2024,3,3174.185
01/03/2024,4,3163.0275
01/03/2024,5,3298.945
01/03/2024,6,3780.025
01/03/2024,7,6815.3724999999995
01/03/2024,8,10000.0
01/03/2024,9,10000.0
01/03/2024,10,8037.8675
01/03/2024,11,4663.225
01/03/2024,12,3985.2325
01/03/2024,13,3856.8375
01/03/2024,14,3214.625
01/03/2024,15,3424.8225
01/03/2024,16,3700.3375
01/03/2024,17,3827.2025000000003
01/03/2024,18,3714.5075
01/03/2024,19,4380.16
01/03/2024,20,4917.8975
01/03/2024,21,4127.975
01/03/2024,22,3780.0575
01/03/2024,23,3597.795
01/03/2024,24,3490.295
01/04/2023,1,6217.0375
01/04/2023,2,5759.9475
01/04/2023,3,4932.0825
01/04/2023,4,5005.8675
01/04/2023,5,5682.475
01/04/2023,6,6819.87
01/04/2023,7,5561.1075
01/04/2023,8,4827.35
01/04/2023,9,3679.5125
01/04/2023,10,3496.435
01/04/2023,11,3011.5625
01/04/2023,12,2758.26
01/04/2023,13,2602.3925
01/04/2023,14,2258.765
01/04/2023,15,2590.285
01/04/2023,16,2918.7425000000003
01/04/2023,17,3374.465
01/04/2023,18,3382.735
01/04/2023,19,4267.5275
01/04/2023,20,4901.1075
01/04/2023,21,4374.4425
01/04/2023,22,4620.1275000000005
01/04/2023,23,5612.115
01/04/2023,24,4906.139999999999
01/05/2023,1,3615.985
01/05/2023,2,3363.35
01/05/2023,3,3514.6475
01/05/2023,4,3454.6775000000002
01/05/2023,5,3377.7975
01/05/2023,6,3464.465
01/05/2023,7,2982.4825
01/05/2023,8,2722.475
01/05/2023,9,2178.7650000000003
01/05/2023,10,1999.3675
01/05/2023,11,1999.3675
01/05/2023,12,1999.1925
01/05/2023,13,1999.1275
01/05/2023,14,1886.9524999999999
01/05/2023,15,1999.285
01/05/2023,16,2020.3525
01/05/2023,17,2088.4
01/05/2023,18,2131.4125
01/05/2023,19,2633.5175
01/05/2023,20,3821.87
01/05/2023,21,3667.115
01/05/2023,22,3795.6875
01/05/2023,23,3651.56
01/05/2023,24,3804.3225
01/06/2023,1,10000.0
01/06/2023,2,10000.0
01/06/2023,3,8523.3625
01/06/2023,4,4885.3225
01/06/2023,5,4532.425
01/06/2023,6,4281.655000000001
01/06/2023,7,3590.3875
01/06/2023,8,3036.7599999999998
01/06/2023,9,3080.82
01/06/2023,10,3318.5075
01/06/2023,11,3561.205
01/06/2023,12,3678.105
01/06/2023,13,3700.395
01/06/2023,14,3600.0525
01/06/2023,15,4147.165
01/06/2023,16,4874.827499999999
01/06/2023,17,4740.0175
01/06/2023,18,5176.35
01/06/2023,19,6726.6125
01/06/2023,20,10000.0
01/06/2023,21,10000.0
01/06/2023,22,10000.0
01/06/2023,23,10000.0
01/06/2023,24,10000.0
01/07/2023,1,3914.0
01/07/2023,2,3377.0225
01/07/2023,3,3056.865
01/07/2023,4,2675.9399999999996
01/07/2023,5,2574.215
01/07/2023,6,3004.4375
01/07/2023,7,3133.045
01/07/2023,8,2660.555
01/07/2023,9,2094.49
01/07/2023,10,2037.1075
01/07/2023,11,2017.43
01/07/2023,12,2049.6275
01/07/2023,13,2040.04
01/07/2023,14,2012.295
01/07/2023,15,2049.1425
01/07/2023,16,2064.915
01/07/2023,17,2169.135
01/07/2023,18,2391.1775
01/07/2023,19,3054.0775
01/07/2023,20,4392.22
01/07/2023,21,4916.53
01/07/2023,22,8065.05
01/07/2023,23,10000.0
01/07/2023,24,7498.16
01/08/2023,1,9874.7625
01/08/2023,2,5422.8575
01/08/2023,3,3593.33
01/08/2023,4,3067.815
01/08/2023,5,3299.27
01/08/2023,6,3537.7625
01/08/2023,7,4233.57
01/08/2023,8,3384.4875
01/08/2023,9,3018.4175
01/08/2023,10,3063.3
01/08/2023,11,3177.6475
01/08/2023,12,3097.6349999999998
01/08/2023,13,2840.4575
01/08/2023,14,2687.005
01/08/2023,15,3137.71
01/08/2023,16,3291.005
01/08/2023,17,3340.2375
01/08/2023,18,3391.885
01/08/2023,19,5827.7625
01/08/2023,20,10000.0
01/08/2023,21,10000.0
01/08/2023,22,10000.0
01/08/2023,23,10000.0
01/08/2023,24,10000.0
01/09/2023,1,10000.0
01/09/2023,2,10000.0
01/09/2023,3,10000.0
01/09/2023,4,10000.0
01/09/2023,5,10000.0
01/09/2023,6,10000.0
01/09/2023,7,10000.0
01/09/2023,8,10000.0
01/09/2023,9,10000.0
01/09/2023,10,10000.0
01/09/2023,11,10000.0
01/09/2023,12,10000.0
01/09/2023,13,10000.0
01/09/2023,14,10000.0
01/09/2023,15,10000.0
01/09/2023,16,10000.0
01/09/2023,17,10000.0
01/09/2023,18,10000.0
01/09/2023,19,10000.0
01/09/2023,20,10000.0
01/09/2023,21,10000.0
01/09/2023,22,10000.0
01/09/2023,23,10000.0
01/09/2023,24,10000.0
01/10/2023,1,5200.33
01/10/2023,2,4932.6025
01/10/2023,3,4624.7575
01/10/2023,4,4600.125
01/10/2023,5,4139.945
01/10/2023,6,3074.5525
01/10/2023,7,4109.115
01/10/2023,8,3641.1075
01/10/2023,9,3113.0525
01/10/2023,10,3008.0875
01/10/2023,11,2536.785
01/10/2023,12,2341.33
01/10/2023,13,2275.8575
01/10/2023,14,2042.4825
01/10/2023,15,2532.7799999999997
01/10/2023,16,2838.5924999999997
01/10/2023,17,3498.2675
01/10/2023,18,3782.325
01/10/2023,19,3597.3225
01/10/2023,20,5355.9125
01/10/2023,21,4909.225
01/10/2023,22,4865.535
01/10/2023,23,4790.7725
01/10/2023,24,4800.54
01/11/2023,1,4046.5150000000003
01/11/2023,2,4023.69
01/11/2023,3,4017.92
01/11/2023,4,4006.115
01/11/2023,5,3927.315
01/11/2023,6,4962.74
01/11/2023,7,5509.9475
01/11/2023,8,5326.795
01/11/2023,9,4041.985
01/11/2023,10,4228.675
01/11/2023,11,3831.1925
01/11/2023,12,3681.925
01/11/2023,13,3531.1275
01/11/2023,14,3356.1775
01/11/2023,15,3588.06
01/11/2023,16,3881.85
01/11/2023,17,7547.28
01/11/2023,18,10000.0
01/11/2023,19,10000.0
01/11/2023,20,7570.2075
01/11/2023,21,4756.7074999999995
01/11/2023,22,4207.0825
01/11/2023,23,4425.695
01/11/2023,24,4048.61
01/12/2023,1,3000.37
01/12/2023,2,2999.5675
01/12/2023,3,2822.9825
01/12/2023,4,2680.88
01/12/2023,5,2947.295
01/12/2023,6,3108.5625
01/12/2023,7,3618.11
01/12/2023,8,3982.0074999999997
01/12/2023,9,3671.755
01/12/2023,10,3513.1925
